slno,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,label,event_date,rainfall_eligible,rainfall_mm,rainfall_raw,rainfall_status
8,ASM/HLKD/83D10/2016/58,Assam,Hailakandi,Terracherra Slide,Terracherra area,24.478972,92.682861,Debris,Slide,17 May 2016,1,2016-05-17,True,129.3,1293.0,ok
14,ASM/HLKD/83D10/2016/59,Assam,Hailakandi,Lalcherra Slide (Rabinala),Near Patakhouri Durga Mandir Under Bilaipur Forest Village; Lala Police Station,24.511306,92.693028,Debris,Slide,18 May 2016,1,2016-05-18,True,53.0,530.0,ok
15,ASM/HLKD/83D10/2016/60,Assam,Hailakandi,Ramchandi (Koyabasti),Ramchandi area,24.515944,92.540889,Earth,Slide,18 May 2016,1,2016-05-18,True,50.3,503.0,ok
25,AS/CAC/83D10/2009-10/AS-1,Assam,Cachar,Palgana slide,Paglagaon (near Mursabarti) under Baghbahar GP part 3,24.57025,92.685,Debris,Slide,02 April 2010,1,2010-04-02,True,28.9,289.0,ok
30,ASM/CCR/83H2/2016/66,Assam,Cachar,Khasiapunji slide,Khasiapunji village,24.645417,93.005361,Debris,Slide,31 August 2016,1,2016-08-31,True,36.7,367.0,ok
31,ASM/KRGJ/83D06/2016/61,Assam,Karimganj,Rakhalbasti,"Rakhalbasti, near Sonaicherra TG. Under Ram Krishna",24.659389,92.497361,Earth,Slide,18 May 2016,1,2016-05-18,True,57.2,572.0,ok
34,ASM/HLK/83D10/2020/004,Assam,Hailakandi,Mohanpur Grant Slide 2,"Mohanpur Grant, Hailakandi Circle.",24.70656,92.65008,Debris,Slide,02 June 2020,1,2020-06-02,True,47.5,475.0,ok
35,AS/KAR/83D06/2009-10/AS-2,Assam,Karimganj,Rongpur slide,Rongpur Village,24.710833,92.481167,Debris,Slide,03 June 2010,1,2010-06-03,True,36.9,369.0,ok
36,ASM/CHR/83D14/2020/0002,Assam,Cachar,Govindnagar Slide,"Govindnagar Pt. II, Sonai",24.72192,92.90381,Debris,Slide,05 June 2020,1,2020-06-05,True,5.6,56.0,ok
37,ASM/HLK/83D10/2020/005,Assam,Hailakandi,Mohanpur Grant Slide 3,"Mohanpur Grant, Hailakandi Circle.",24.73117,92.64739,Debris,Slide,02 June 2020,1,2020-06-02,True,47.5,475.0,ok
38,ASM/KGJ/83D05/2020/0008,Assam,Karimganj,Karimpur Slide 2,"Karimpur, Nilam Bazar",24.78002778,92.45372222,Earth,Slide,02 June 2020,1,2020-06-02,True,32.4,324.0,ok
39,ASM/KGJ/83D05/2020/007,Assam,Karimganj,Karimpur Slide 1,"Karimpur, Nilam Bazar",24.78380556,92.45563889,Earth,Slide,02 June 2020,1,2020-06-02,True,32.4,324.0,ok
40,ASM/HLK/83D09/2020/006,Assam,Hailakandi,Chandipur Grant Slide,"Bowarthar, Chandipur, Algapur Circle.",24.79489,92.55506,Debris,Slide,02 June 2020,1,2020-06-02,True,44.9,449.0,ok
43,ASM/CHR/83H01/2020/001,Assam,Cachar,Kanakpur Slide,"Kanakpur Pt. III, Lakhipur, Joypur",24.92097,93.07306,Earth,Slide,02 June 2020,1,2020-06-02,True,83.9,839.0,ok
132,AS/NC/83C16/2009-10/AS-4,Assam,Dima Hasao,Mailongdisa-Harangajao slide,Between Mailongdisa and Harangajao Railway stations. CHainage:128.400 km to 128.600 km,25.121,92.915028,Debris,Slide,20 June 2010,1,2010-06-20,True,2.4,24.0,ok
137,AS/NC/83C16/2009-10/AS-5,Assam,Dima Hasao,Mailongdisa-Harangajao-2 slide,Between Mailongdisa and Harangajao railway station (Chainage: 130.100 Km to 130.400 Km),25.124306,92.904278,Debris,Slide,02 April 2010,1,2010-04-02,True,38.3,383.0,ok
138,AS/NC/83C16/2009-10/AS-3,Assam,Dima Hasao,Jatinga-Longrangajao slide,Between Jatinga and Longrangajao Railway stations (Chainage:120.100 km to 120.400 km),25.124583,92.989111,Debris,Slide,16 June 2010,1,2010-06-16,True,17.6,176.0,ok
163,AS/DH/83C16/2018/002,Assam,Dima Hasao,Jatinga Lampur landslide.,Between Jatinga Lampur Railway Station and Harangajao Railway Station.,25.146306,93.942167,Debris,Slide,14 June 2018,1,2018-06-14,True,20.2,202.0,ok
242,AS/DH/83G04/2018/003,Assam,Dima Hasao,Phiding slide,"Near Phiding Railway Station. Between Mahur and Phiding RS, NFR.",25.224278,93.222861,Debris,Slide,14 June 2018,1,2018-06-14,True,75.3,753.0,ok
243,AS/NC/83G04/2009-10/AS-6,Assam,Dima Hasao,Mahur-Wadringdisa slide,,25.229556,93.1556,Debris,Slide,02 April 2010,1,2010-04-02,True,18.3,183.0,ok
452,AS/DH/83G04/2018/004,Assam,Dima Hasao,Dautohaja Tunnel No. 3 slide.,"Between Phiding and Dautohaja Railway Station, NFR.",26.098167,91.881278,Debris,Slide,14 June 2018,1,2018-06-14,True,56.3,563.0,ok
469,AS/DH/83C16/2018/001,Assam,Dima Hasao,Bandarkhal landslide.,Between NFR Bridge No. 305 and Tunnel No. 19 (~2 km SW of Bandarkhal Railway Station).,26.11,94.76,Debris,Slide,14 June 2018,1,2018-06-14,True,5.7,57.0,ok
474,AS/KRP/78N16/2018/001,Assam,Kamrup,Shankardev Nagar slide,NH37 towards Shillong.,26.112667,91.853889,Debris,Slide,24 August 2018,1,2018-08-24,True,18.0,180.0,ok
490,ASM/KMP/78N16/2017/03,Assam,Kamrup (Metro),Anandapur-Gangapur slide,Hengrabari,26.15428,91.79264,Debris,Slide,13 June 2017,1,2017-06-13,True,83.4,834.0,ok
503,ASM/KMP/78N16/2017/05,Assam,Kamrup (Metro),Dakshin Saraniya-1,Ganpat Mandir road,26.17672,91.76525,Debris,Slide,13 June 2017,1,2017-06-13,True,83.4,834.0,ok
504,ASM/KMP/78N16/2017/0004,Assam,Kamrup (Metro),Dakshin Saraniya-2,Ganpat Mandir road,26.17756,91.76589,Debris,Slide,13 June 2017,1,2017-06-13,True,83.4,834.0,ok
506,ASM/KMP/78N16/2017/06,Assam,Kamrup (Metro),Bonda-Hajongdisa slide,Tuinang colony,26.18842,91.85125,Earth,Slide,16 June 2017,1,2017-06-16,True,78.8,788.0,ok
513,ASM/KAM/78N16/2017/08,Assam,Kamrup (Metro),Bonda colony slide no. 2,"Babubasti–Panikhaiti road section/Bonda colony, Amgaon",26.19081,91.84528,Earth,Slide,04 July 2017,1,2017-07-04,True,24.4,244.0,ok
517,AS/KRP/78N16/2018/003,Assam,Kamrup,Hastinapur landslide,Hastinapur Near Jorabat opposite of Cow bazaar,26.195306,91.765639,Debris,Slide,24 August 2018,1,2018-08-24,True,24.4,244.0,ok
519,AS/KAM/78N16/2014/05,Assam,Kamrup (Metro),Karghuli,Chandmari Road,26.19622,91.76336,Earth,Flow,23 March 2011,1,2011-03-23,True,0.0,0.0,ok
521,AS/NC/83G04/2009/B-5,Assam,Dima Hasao,Phaiding Landslide,,26.20261,91.14528,Debris,,20 August 2009,1,2009-08-20,True,6.1,61.0,ok
522,ASM/KAM/78N16/2017/09,Assam,Kamrup (Metro),Panikhaiti–Bongaon slide,"Panikhaiti, Bongaon, near railway line.",26.20536,91.86497,Debris,Slide,03 July 2017,1,2017-07-03,True,8.1,81.0,ok
548,ASM/KAM/78N16/2017/07,Assam,Kamrup (Metro),Bonda colony slide no. 1,"Babubasti–Panikhaiti road section/Bonda colony, Amgaon",26.37456,91.84561,Earth,Slide,04 July 2017,1,2017-07-04,True,16.0,160.0,ok
589,AS/UDA/83B01/2021/02,Assam,Udalguri,,,26.88969,92.12266,Rock-cum- debris,Falls,28 April 2021,1,2021-04-28,True,0.8,8.0,ok
590,AS/UDA/83B01/2021/01,Assam,Udalguri,,,26.89074,92.12068,Rock-cum- debris,Falls,28 April 2021,1,2021-04-28,True,0.8,8.0,ok
614,AS/KAM(M)/76N16/2024/2,Assam,Kamrup (Metro),Garo Basti Slide,"Garo Basti Slide, 8th Mile, Guwahati",26.11464,91.83886,Earth,Slide,05 July 2024,1,2024-07-05,True,20.9,209.0,ok
615,AS/K(M)/76N16/2024/01,Assam,Kamrup (Metro),Rudra Nagar Slide,"Rudra Nagar, Near Rajohuwa Namghar, Chandmari",26.19044,91.77502,Earth,Slide,24 May 2024,1,2024-05-24,True,0.0,0.0,ok
623,ASM/DH/83G04/2022-23/014,Assam,Dima Hasao,South Bagetar Slide 1,South Bagetar,25.16736,93.00953,Debris,Slide,15 May 2022,1,2022-05-15,True,73.9,739.0,ok
624,ASM/DH/83G04/2022-23/017,Assam,Dima Hasao,Kana Basti Slide 2,"Kana Basti, Haflong",25.16023,93.01084,Debris,Slide,14 May 2022,1,2022-05-14,True,66.9,669.0,ok
632,ASM/DH/83G04/2022-23/015,Assam,Dima Hasao,South Bagetar Slide 2,South Bagetar,25.16579,93.00948,Debris,Slide,14 May 2022,1,2022-05-14,True,66.9,669.0,ok
633,ASM/DH/83G04/2022-23/016,Assam,Dima Hasao,Kana Basti Slide 1,"Kana Basti, Haflong",25.15859,93.01292,Debris,Slide,14 May 2022,1,2022-05-14,True,66.9,669.0,ok
634,AS/KAMRUP(M)/78N16/2014- 15/0006,Assam,Kamrup (Metro),"Dakhingaon, slide.",Near Kahilipara-Ganesh mandir road.,26.13441667,91.74875,Debris,Flow,22 September 2014,1,2014-09-22,True,170.5,1705.0,ok
636,AS/KAMRUP(M)/78N16/2014- 15/0007,Assam,Kamrup (Metro),Ganeshpur-Lalmati Slide,"About 500 m south of Game village, Lalmati, NH-37",26.10711111,91.78916667,Earth,Flow,23 September 2014,1,2014-09-23,True,3.7,37.0,ok
637,AS/KAMRUP/78N12/2015- 16/0004,Assam,Kamrup,Jorabat-Khanapara,"About 200 m North of NH-31, In front of IIT(G) approach",26.09961111,91.87811111,Earth,Slide the loose soil from top (already cut in the area) due to heavy rain.,25 September 2014,1,2014-09-25,True,5.2,52.0,ok
640,ASM/DH/83G04/2022-23/027,Assam,Dima Hasao,Mahadev Tilla Slide 1,"Mahadev Tilla, Haflong",25.15556,93.021583,Debris,Slide,14 May 2022,1,2022-05-14,True,66.9,669.0,ok
642,ASM/DH/83G04/2022-23/026,Assam,Dima Hasao,Lower Songpijang Slide 1,"Lower Sonpijang, Haflong",25.158138,93.024778,Earth,Slide,15 May 2022,1,2022-05-15,True,73.9,739.0,ok
643,ASM/DH/83G4/ PD/2016/55,Assam,Dima Hasao (N.C. Hills),Nutan Lampur slide -1,"NH 54, near Nutan Lampur",25.24194444,93.14319444,Debris,Slide,22 May 2016,1,2016-05-22,True,0.5,5.0,ok
644,ASM/DH/83G4/ PD/2016/04,Assam,Dima Hasao (N.C. Hills),Mupa – Langting RF Rock slide,"NH 54, Mupa – Langting Reserved Forest,",25.41733333,93.12908333,Rock,Slide,22 May 2016,1,2016-05-22,True,0.3,3.0,ok
647,ASM/DH/83G04/2022-23/025,Assam,Dima Hasao,Tularam Raji Slide 2,"Tularam Raji, Haflong",25.16804,93.02503,Debris,Slide,14 May 2022,1,2022-05-14,True,66.9,669.0,ok
649,ASM/DH/83G04/2022-23/044,Assam,Dima Hasao,Tularam Raji Slide 3,"Tularam Raji, Haflong",25.168083,93.024922,Earth,Slide,14 May 2022,1,2022-05-14,True,66.9,669.0,ok
650,ASM/DH/83G4/ PD/2016/56,Assam,Dima Hasao (N.C. Hills),Nutan Lampur slide -2,"NH 54, near Nutan Lampur,",25.27480556,93.14555556,Rock,Slide,22 May 2016,1,2016-05-22,True,0.5,5.0,ok
651,ASM/DH/83G4/ PD/2016/53,Assam,Dima Hasao (N.C. Hills),Mahur railway station slide,"Mahur railway station, Haflong, Dima Hasao (NC Hills)",25.18955556,93.09641667,Debris,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
654,ASM/KAMRUP(M)/78N16/2016- 17/62,Assam,Kamrup (Metro),Piyali Phukan Nagar Slide,"Njiura Par Path, Piyali Phukan Nagar, Guwahati.",26.19552778,91.78055556,Earth,Slide,22 June 2016,1,2016-06-22,True,8.7,87.0,ok
655,ASM/DH/83G04/2022-23/032,Assam,Dima Hasao,Moulhoi Slide 3,Moulhoi village,25.17483,93.019861,Debris,Slide,15 May 2022,1,2022-05-15,True,73.9,739.0,ok
656,ASM/DH/83G04/2022-23/033,Assam,Dima Hasao,Mahadev Tilla slide 2,Mahadev Tilla village,25.1568056,93.019722,Debris,Slide,13 May 2022,1,2022-05-13,True,74.8,748.0,ok
666,ASM/DH/83G04/2022-23/047,Assam,Dima Hasao,Natun Basti Slide 5,"Natun Basti, Haflong",25.162667,93.009806,Debris,Slide,14 May 2022,1,2022-05-14,True,66.9,669.0,ok
668,ASM/DH/83G4/ PD/2016 /01,Assam,Dima Hasao (N.C. Hills),Migrendisa slide,"Near Migrendisa Railway Station, Migrendisa.",25.17986111,93.07077778,Debris,Slide,17 May 2016,1,2016-05-17,True,116.3,1163.0,ok
669,ASM/DH/83G4/PD/2016/02,Assam,Dima Hasao (N.C. Hills),New Haflong R. S slide(1),West slope of New Haflong Railway Station.,25.14677778,93.03097222,Debris,Slide,17 May 2016,1,2016-05-17,True,116.3,1163.0,ok
670,ASM/DH/83G4/ PD/2016/25,Assam,Dima Hasao,Mahadev Tila slide-2,"Haflong town, Dima Hasao (NC Hills)",25.15561111,93.02222222,Debris,Slide,17 May 2016,1,2016-05-17,True,116.3,1163.0,ok
671,ASM/DH/83G4/PD/2016/26,Assam,Dima Hasao,Haflong-Jatinga road section slide-01,"Haflong town, Dima Hasao (NC Hills)",25.15658333,93.01961111,Debris,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
672,ASM/DH/83G4/ PD/2016/29,Assam,Dima Hasao (N.C. Hills),Haflong-Jatinga road section slide-04,"Haflong town,",25.15713889,93.01719444,Debris,Slide,27 May 2016,1,2016-05-27,True,3.6,36.0,ok
673,ASM/DH/83G4/ PD/2016/42,Assam,Dima Hasao (N.C. Hills),96 km Migrendisa slide,"96 km, Migrendisa – Haflong rail section, near Diyung bridge.",25.164,93.04019444,Debris,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
683,ASM/DH/83G4/PD/2016/43,Assam,Dima Hasao (N.C. Hills),New Haflong R.S. slide - (2),New Haflong Railway Station,25.14872222,93.03191667,Debris,Creep,17 May 2016,1,2016-05-17,True,116.3,1163.0,ok
684,ASM/DH/83G4/PD/2016/44,Assam,Dima Hasao (N.C. Hills),New Haflong R. S slide(3),"New Haflong Railway Station, Dima Hasao (NC Hills)",25.14525,93.02916667,Debris,Slide,17 May 2016,1,2016-05-17,True,116.3,1163.0,ok
685,ASM/DH/83G4/ PD/2016/24,Assam,Dima Hasao,Mahadev Tilla-1,"Mahadev Tilla, Haflong,Dima Hasao (NC Hills)",25.15572222,93.02277778,Earth,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
686,ASM/DH/83G4/ PD/2016 /35,Assam,Dima Hasao,Haflong – Gunjung road section soil creep-6,Haflong – Gunjung road section,25.23230556,93.03333333,Earth,Creep,17 May 2016,1,2016-05-17,True,81.4,814.0,ok
694,ASM/DH/83G4/ PD/2016/07,Assam,Dima Hasao (N.C. Hills),Haflong – Gunjung slide-1,Near Gunjung village road section,25.20552778,93.02013889,Debris,Slide,22 May 2016,1,2016-05-22,True,0.2,2.0,ok
695,ASM/DH/83G4/ PD/2016/31,Assam,Dima Hasao,Haflong – Gunjung road section slide- 02,Haflong – Gunjung road section,25.24597222,93.02827778,Debris,Slide,22 May 2016,1,2016-05-22,True,0.2,2.0,ok
700,AS/K(M)/76N16/2024/01,Assam,Kamrup (Metro),Rudra Nagar Slide,"Rudra Nagar, Near Rajohuwa Namghar, Chandmari",26.19052,91.77499,Earth,Slide,24 May 2024,1,2024-05-24,True,0.0,0.0,ok
701,ASM/DH/83G4/ PD/2016/30,Assam,Dima Hasao,Gadhi Rojai Slide,"Haflong town, Dima Hasao (NC Hills)",25.15933333,93.017,Earth,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
705,ASM/DH/83G4/ PD/2016/28,Assam,Dima Hasao,Haflong-Jatinga road section slide-03,"Haflong town, Dima Hasao (NC Hills)",25.15736111,93.01608333,Rock,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
706,ASM/DH/83G4/ PD/2016/33,Assam,Dima Hasao,Haflong – Gunjung road section slide- 04,Haflong – Gunjung road section,25.23880556,93.03219444,Rock,Slide,22 May 2016,1,2016-05-22,True,0.2,2.0,ok
707,ASM/DH/83G4/ PD/2016/40,Assam,Dima Hasao (N.C. Hills),Lungkok slide (Haflong – Gunjung road 11),"-Haflong – Gunjung road section, Lungkok village, Lower Haflong",25.19669444,93.01858333,Rock,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
708,ASM/DH/83G4/ PD/2016/41,Assam,Dima Hasao (N.C. Hills),Lower Haflong slide (Haflong – Gunjung road-12),"Haflong – Gunjung road section, Lower Haflong",25.18844444,93.01966667,Rock,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
709,ASM/DH/83G4/ PD /2016/03,Assam,Dima Hasao (N.C. Hills),Heuwangberam subsidence zone-1,"NH 54, Heuwangberam,",25.20738889,93.12277778,Debris,"Initially started as a subsidence, now movement of slope mass has already been initiated.",20 August 2014,1,2014-08-20,True,2.7,27.0,ok
710,ASM/DH/83G4/ PD/2016/10,Assam,Dima Hasao,N.D Raji.-1,"N.D Raji village, Haflong, Dima Hasao (NC Hills)",25.17597222,93.02016667,Debris,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
711,ASM/DH/83G4/ PD/2016/11,Assam,Dima Hasao,N.D Raji (Hamar)-2,"N.D Raji (Hamar)village, Haflong, Dima Hasao (NC Hills)",25.17505556,93.02041667,Debris,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
712,ASM/DH/83G4/ PD/2016/12,Assam,Dima Hasao,"Huonveng, N.D Raji-3","N.D Raji (Hmar)village, Haflong, Dima Hasao (NC Hills)",25.17188889,93.02061111,Debris,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
713,ASM/DH/83G4/ PD/2016/13,Assam,Dima Hasao,Songpiang-1,"Songpiang village, Haflong, Dima Hasao (NC Hills)",25.16563889,93.02544444,Debris,Fall,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
714,ASM/DH/83G4/ PD/2016/14,Assam,Dima Hasao,Songpiang-2,"Songpiang village, Haflong, Dima Hasao (NC Hills)",25.16344444,93.02316667,Debris,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
715,ASM/DH/83G4/ PD/2016/15,Assam,Dima Hasao,Boro Haflong-1,"Near Boro Haflong village, Haflong, Dima Hasao (NC Hills)",25.15069444,93.02583333,Debris,slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
716,ASM/DH/83G4/ PD/2016/16,Assam,Dima Hasao,"Vidya Mandir, Boro Haflong-2","Boro Haflong, Haflong, Dima Hasao (NC Hills)",25.14586111,93.02419444,Debris,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
717,ASM/DH/83G4/ PD/2016/17,Assam,Dima Hasao,"Near and below Assam rifles camp, Boro Haflong-3.","Boro Haflong, Haflong, Dima Hasao (NC Hills)",25.14041667,93.02038889,Debris,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
718,ASM/DH/83G4/ PD/2016/18,Assam,Dima Hasao,Jatinga-Haflong Road section-1.,"Jatinga-Haflong Road section, Haflong, Dima Hasao (NC Hills)",25.13961111,93.01955556,Debris,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
722,ASM/DH/83G4/ PD/2016/23,Assam,Dima Hasao,Mahur,"Mahur, Dima Hasao (NC Hills)",25.17638889,93.11613889,Debris,Slide,22 May 2016,1,2016-05-22,True,0.8,8.0,ok
723,ASM/DH/83G4/ PD/2016/05,Assam,Dima Hasao (N.C. Hills),Khongsai slide-1,"Khongsai village, Haflong,",25.1775,93.02622222,Earth,Shallow rotational,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
724,ASM/DH/83G4/ PD/2016/08,Assam,Dima Hasao,Khongsai slide- 2,"Khongsai village, Haflong, Dima Hasao (NC Hills)",25.17691667,93.02655556,Earth,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
725,ASM/DH/83G4/ PD/2016/09,Assam,Dima Hasao,Muolhoi /Gilgal,"Muolhoi /Gilgal village, Haflong, Dima Hasao (NC Hills)",25.17702778,93.02088889,Earth,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
727,ASM/DH/83G4/ PD/2016/19,Assam,Dima Hasao,Jatinga-2,"Jatinga, Haflong, Dima Hasao (NC Hills)",25.13447222,93.01897222,Rock,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok
728,ASM/KAM (M)/78N16/2017/0006,Assam,Kamrup (Metro),"Bonda, Hajongdisa slide",Tuinang colony,26.18841667,91.85125,Earth,Slide,16 June 2017,1,2017-06-16,True,78.8,788.0,ok
729,ASM/KAM(M)/78N16/2016/63,Assam,Kamrup (Metro),Mandakini slide,"Mandakini path, Kharghuli",26.19244444,91.76422222,Earth,Slide,20 July 2016,1,2016-07-20,True,14.6,146.0,ok
730,ASM/KAM/78N16/2019/03,Assam,Kamrup (Metro),Amiya Nagar Slide,Chandmari,26.19236111,91.78080556,Debris,Subsidence,10 July 2019,1,2019-07-10,True,55.1,551.0,ok
731,ASM/KAM/78N12/2019/04,Assam,Kamrup (Metro),Bezbaruah Nagar slide,"Nilachalpur, Bezbaruah Nagar",26.15805556,91.71258333,Debris,Slide,16 July 2019,1,2019-07-16,True,1.9,19.0,ok
732,ASM/West Sarania/78N16/2016- 17/65,Assam,Kamrup (Metro),West Sarania slide (Guwahati),"Pub Sarania hill, Guwahati.",26.1755,91.76175,Debris,Slide,14 July 2016,1,2016-07-14,True,10.8,108.0,ok
733,ASM/ Nijabara/78N16/2016- 17/64,Assam,Kamrup (Metro),Nijabara slide (Guwahati),"Noonmati, Guwahati.",26.19038889,91.80994444,Earth,Slide,14 July 2016,1,2016-07-14,True,5.4,54.0,ok
734,AS/KAMRUP(M)/78N16/2014- 15/0004,Assam,Kamrup (Metro),"Nabragraha Slide, Bapuji Nagar Housing Complex.","SH: Chandmari Road. Localtiy: Bapuji Nagar Housing Complex, Guwahati.",26.18866667,91.76694444,Earth,Flow,27 June 2014,1,2014-06-27,True,9.1,91.0,ok
736,AS/KAMRUP(M)/78N16/2014- 15/0005,Assam,Kamrup (Metro),"Karghuli Landslide, Bankuwar Nagar, Guwahati.(Twin Slide in same road)","SH: Chandmari Road. Localtiy: Bankuwar Nagar, Karghuli Pahar, Guwahati.",26.19622222,91.76336111,Earth,Flow,27 June 2014,1,2014-06-27,True,9.1,91.0,ok
759,AS/KAM/76N16/2024/1,Assam,Kamrup (Metro),Garo Basti Slide,"Garo Basti Slide, 8th Mile, Guwahati",26.11464,91.83886,Earth,Slide,05 July 2024,1,2024-07-05,True,20.9,209.0,ok
761,ASM/KAM (M)/78N16/2017/0004,Assam,Kamrup (Metro),Dakshin Saraniya-2,Ganpat Mandir road,26.17755556,91.76588889,Debris,Slide,13 June 2017,1,2017-06-13,True,83.4,834.0,ok
762,ASM/KAM (M)/78N16/2017/04,Assam,Kamrup (Metro),Dakshin Saraniya-1,Ganpat Mandir road,26.17672222,91.76525,Debris,Slide,13 June 2017,1,2017-06-13,True,83.4,834.0,ok
763,ASM/KAM (M)/78N16/2017/0003,Assam,Kamrup (Metro),Anandapur-Gangapur slide,Hengrabari,26.15427778,91.79263889,Debris,Slide,13 June 2017,1,2017-06-13,True,83.4,834.0,ok
764,AS/KAMRUP (M)/78N16/2014- 15/0002,Assam,Kamrup (Metro),Udayachal Slide.,"Guwahati-Shillong Road (Merges with NH-37), Udayachal pahar, Near Guwahati Medical College.",26.15477778,91.77411111,Earth,Flow,27 june 2014,1,2014-06-27,True,9.1,91.0,ok
765,AS/KAMRUP(M)/78N16/2014- 15/0003,Assam,Kamrup (Metro),"Bamunimaidan, South Railway Colony slide.","SH: Zoo Tiniali-Narengi Road. Localtiy: Bamunimaidan, South Railway Colony (Near Hatigar), Guwahati.",26.17672222,91.78672222,Earth,Flow,27 june 2014,1,2014-06-27,True,9.1,91.0,ok
766,ASM/KAMRUP(M)/78N16/2016- 17/057,Assam,Kamrup (Metro),Jyotinagar Slide,"Akashi Nagar, Jyoti Nagar, Guwahati.",26.1895,91.78716667,Earth,Slide,18 April 2016,1,2016-04-18,True,14.7,147.0,ok
767,ASM/DH/83G3/ PD/2017 /02,Assam,Dima Hasao (N.C. Hills),Mupa slide,"Between Mupa and Dinhaku Railway Station,",25.40586111,93.11097222,Debris,Slide,20 May 2017,1,2017-05-20,True,8.7,87.0,ok
768,ASM/DH/83G3/ PD/2017 /01,Assam,Dima Hasao (N.C. Hills),Boila bridge slide,"Between Mupa and Dinhaku Bridge approach no102, at km 51/9 as 52/1",25.39155556,93.11316667,Soil,Subsidence,03 June 2017,1,2017-06-03,True,40.7,407.0,ok
769,AS/KRP/78N/16/2018/003,Assam,Kamrup,Hastinapur landslide,Hastinapur Near Jorabat opposite of cow bazaar.,26.11266667,91.85388889,Debris,Slide,24 August 2018,1,2018-08-24,True,18.0,180.0,ok
770,ASM/CHR/83H01/2020/001,Assam,Cachar,Kanakpur Slide,"Kanakpur Pt. III, Lakhipur, Joypur",24.92097,93.07306,Earth,Slide,02 June 2020,1,2020-06-02,True,83.9,839.0,ok
771,AS/KRP/78N16/2018/002,Assam,Kamrup,Kharghuli slide,"Kharghuli area, near Kharghuli post office in Guwahati.",26.19530556,91.76563889,Debris,Slide,31 August 2018,1,2018-08-31,True,0.2,2.0,ok
772,AS/KAMRUP/78N12/2015- 16/0001,Assam,Kamrup,Jayguru Kalipahar Slide,"About 200 m North of NH-31, In north of IIT(G) approach",26.21111111,91.68416667,Debris,Toppled the wedged weathered rocks blocks.,01 September 2015,1,2015-09-01,True,12.3,123.0,ok
773,ASM/KAM/78N16/2020/001,Assam,Kamrup (Metro),Hirimbapur landslide,Kharghuli,26.19330556,91.77725,Debris,Slide,28 June 2020,1,2020-06-28,True,13.0,130.0,ok
774,ASM/KAM/78N16/2020/002,Assam,Kamrup (Metro),Ambher landslide,12th mile near Jorabat,26.09150556,91.87898611,Earth,Slide,12 July 2020,1,2020-07-12,True,12.3,123.0,ok
775,ASM/KAM/78N12/2020/003,Assam,Kamrup (Metro),Gauripur landslide,NH-31,26.21305556,91.6925,Rock,Fall,26 June 2020,1,2020-06-26,True,56.7,567.0,ok
776,ASM/K(M)/78N16/2022-23/003,Assam,Kamrup (Metro),Salbari,Near Noonmati bazaar road,26.1916,91.80361,Debris,Slide,16 June 2022,1,2022-06-16,True,140.2,1402.0,ok
777,ASM/K(M)/78N16/2022-23/001,Assam,Kamrup (Metro),Upper Luitpur,Upper Luitpur,26.19322,91.77033,Earth,Slide,16 June 2022,1,2022-06-16,True,146.0,1460.0,ok
778,ASM/K(M)/78N16/2022-23/002,Assam,Kamrup (Metro),Anandanagar,Anandanagar,26.18789,91.79493,Earth,Slide,17 June 2022,1,2022-06-17,True,59.1,591.0,ok
779,ASM/DH/83G04/2022-23/023,Assam,Dima Hasao,Disgao Raji Slide,"Disgao Raji, Haflong",25.17136,93.01102,Debris,Slide,14 May 2022,1,2022-05-14,True,66.9,669.0,ok
783,ASM/DH/83G04/2022-23/030,Assam,Dima Hasao,Merryland Slide,Merryland colony,25.177416,93.00975,Debris,Slide,16 May 2022,1,2022-05-16,True,71.4,714.0,ok
785,ASM/DH/83G04/2022-23/022,Assam,Dima Hasao,Lower Haflong Slide 2,Lower Haflong,25.18919,93.02118,Debris,Slide,15 May 2022,1,2022-05-15,True,73.9,739.0,ok
