slno,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,label,event_date,rainfall_eligible,rainfall_mm,rainfall_raw,rainfall_status
23482,MIZ/AZL/2024/622,Mizoram,Aizawl,,,23.72138889,92.79944444,Debris,Slide,2 July 2024,1,2024-07-02,True,33.9,339.0,ok
23483,MIZ/AZL/2024/623,Mizoram,Aizawl,,,23.72138889,92.85777778,Debris,Slide,2 July 2024,1,2024-07-02,True,18.2,182.0,ok
23484,MIZ/AZL/2024/624,Mizoram,Aizawl,,,23.72083333,92.86472222,Debris,Slide,2 July 2024,1,2024-07-02,True,18.2,182.0,ok
23487,MIZ/AZL/2024/627,Mizoram,Aizawl,,,23.71166667,92.87833333,Debris,Slide,2 July 2024,1,2024-07-02,True,18.2,182.0,ok
23488,MIZ/AZL/2024/628,Mizoram,Aizawl,,,23.71111111,92.87861111,Debris,Slide,28 June 2024,1,2024-06-28,True,1.4,14.0,ok
23489,MIZ/AZL/2024/629,Mizoram,Aizawl,,,23.70333333,92.87638889,Debris,Slide,18 July 2024,1,2024-07-18,True,1.0,10.0,ok
23494,MIZ/AZL/2024/634,Mizoram,Aizawl,,,23.73361111,92.84833333,Debris,Slide,7 June 2024,1,2024-06-07,True,17.1,171.0,ok
23495,MIZ/AZL/2024/635,Mizoram,Aizawl,,,23.73361111,92.85305556,Debris,Complex,28 August 2024,1,2024-08-28,True,0.8,8.0,ok
23496,MIZ/AZL/2024/636,Mizoram,Aizawl,,,23.735,92.85666667,Debris,Slide,2 July 2024,1,2024-07-02,True,18.2,182.0,ok
23497,MIZ/AZL/2024/637,Mizoram,Aizawl,,,23.73666667,92.85611111,Debris,Slide,2 July 2024,1,2024-07-02,True,18.2,182.0,ok
23498,MIZ/AZL/2024/638,Mizoram,Aizawl,,,23.73583333,92.85194444,Debris,Slide,28 May 2024,1,2024-05-28,True,71.0,710.0,ok
23499,MIZ/AZL/2024/639,Mizoram,Aizawl,,,23.74416667,92.85555556,Debris,Slide,25 September 2024,1,2024-09-25,True,49.3,493.0,ok
23500,MIZ/AZL/2024/640,Mizoram,Aizawl,,,23.74361111,92.85416667,Debris,Slide,25 September 2024,1,2024-09-25,True,49.3,493.0,ok
23501,MIZ/AZL/2024/641,Mizoram,Aizawl,,,23.76111111,92.84777778,Debris,Slide,2 July 2024,1,2024-07-02,True,18.2,182.0,ok
23502,MIZ/AZL/2024/642,Mizoram,Aizawl,,,23.76166667,92.85083333,Debris,Complex,2 July 2024,1,2024-07-02,True,18.2,182.0,ok
23503,MIZ/AZL/2024/643,Mizoram,Aizawl,,,23.76527778,92.85,Earth,Slide,2 July 2024,1,2024-07-02,True,18.2,182.0,ok
23504,MIZ/AZL/2024/644,Mizoram,Aizawl,,,23.76861111,92.85138889,Earth,Slide,2 July 2024,1,2024-07-02,True,18.2,182.0,ok
23505,MIZ/AZL/2024/645,Mizoram,Aizawl,,,23.77777778,92.8479,Earth,Slide,28 May 2024,1,2024-05-28,True,71.0,710.0,ok
23506,MIZ/AZL/2024/646,Mizoram,Aizawl,,,23.774,92.848,Debris,Slide,28 June 2024,1,2024-06-28,True,1.4,14.0,ok
23507,MIZ/AZL/2024/647,Mizoram,Aizawl,,,23.7775,92.84833333,Debris,Slide,28 May 2024,1,2024-05-28,True,71.0,710.0,ok
23508,MIZ/AZL/2024/648,Mizoram,Aizawl,,,23.77833333,92.84666667,Debris,Slide,28 May 2024,1,2024-05-28,True,71.0,710.0,ok
23509,MIZ/AZL/2024/649,Mizoram,Aizawl,,,23.77166667,92.84805556,Debris,Slide,23 July 2023,1,2023-07-23,True,66.9,669.0,ok
23512,MIZ/AZL/2024/652,Mizoram,Aizawl,,,23.77361111,92.84944444,Debris,Slide,28 May 2024,1,2024-05-28,True,71.0,710.0,ok
23517,MIZ/AZL/2024/657,Mizoram,Aizawl,,,23.82638889,92.8325,Debris,Slide,28 May 2024,1,2024-05-28,True,81.7,817.0,ok
23519,MIZ/AZL/2024/659,Mizoram,Aizawl,,,23.83277778,92.8325,Debris,Slide,2 July 2024,1,2024-07-02,True,15.7,157.0,ok
23520,MIZ/AZL/2024/660,Mizoram,Aizawl,,,23.83888889,92.83194444,Earth,Slide,2 July 2024,1,2024-07-02,True,15.7,157.0,ok
23521,MIZ/AZL/2024/661,Mizoram,Aizawl,,,23.84777778,92.83694444,Debris,Slide,28 May 2024,1,2024-05-28,True,81.7,817.0,ok
