event_date,latitude,longitude,state,district
2017-06-13,26.15427778,91.79263889,Assam,Kamrup (Metro)
2014-06-27,26.15477778,91.77411111,Assam,Kamrup (Metro)
2014-06-27,26.17672222,91.78672222,Assam,Kamrup (Metro)
2016-04-18,26.1895,91.78716667,Assam,Kamrup (Metro)
2017-05-20,25.40586111,93.11097222,Assam,Dima Hasao (N.C. Hills)
2017-06-03,25.39155556,93.11316667,Assam,Dima Hasao (N.C. Hills)
2018-08-24,26.11266667,91.85388889,Assam,Kamrup
2020-06-02,24.92097,93.07306,Assam,Cachar
2018-08-31,26.19530556,91.76563889,Assam,Kamrup
2015-09-01,26.21111111,91.68416667,Assam,Kamrup
2020-06-28,26.19330556,91.77725,Assam,Kamrup (Metro)
2020-07-12,26.09150556,91.87898611,Assam,Kamrup (Metro)
2020-06-26,26.21305556,91.6925,Assam,Kamrup (Metro)
2022-06-16,26.1916,91.80361,Assam,Kamrup (Metro)
2022-06-16,26.19322,91.77033,Assam,Kamrup (Metro)
2022-06-17,26.18789,91.79493,Assam,Kamrup (Metro)
2022-05-14,25.17136,93.01102,Assam,Dima Hasao
2022-05-16,25.177416,93.00975,Assam,Dima Hasao
2022-05-15,25.18919,93.02118,Assam,Dima Hasao
2014-05-10,24.70619444,92.28997222,Assam,Karimganj
2022-05-14,25.17623,93.01326,Assam,Dima Hasao
2025-05-31,26.19113889,91.82961111,Assam,Kamrup
2025-06-06,26.158193,91.755807,Assam,Kamrup
2025-06-04,26.166185,91.7147,Assam,Kamrup
2025-05-31,26.17027,91.698,Assam,Kamrup
2022-05-14,25.117665,92.847709,Assam,Dima Hasao
2022-05-14,25.366255,92.823037,Assam,Dima Hasao
2022-06-16,25.316197,93.006158,Assam,Dima Hasao
2014-07-17,25.757752,91.252285,Assam,Kamrup
2025-11-02,26.238016,91.945953,Assam,Kamrup (Metro)
2014-09-23,25.872268,91.213965,Assam,Kamrup
2008-12-26,26.2272613,91.6922458,Assam,Kamrup
2025-05-31,26.184324,91.855395,Assam,Kamrup (Metro)
2025-07-05,26.24698,91.964383,Assam,Kamrup
2025-06-05,26.11956,92.052125,Assam,Kamrup (Metro)
2025-06-05,25.69814,93.129423,Assam,Dima Hasao
2025-06-05,25.648512,93.121528,Assam,Dima Hasao
2014-07-18,25.740148,91.224044,Assam,West Khasi Hills
2024-08-08,26.156633,91.938576,Assam,Kamrup (Metro)
2020-06-25,27.08130556,93.61283333,Arunachal Pradesh,Papum Pare
2016-07-16,27.193425,93.780983,Arunachal Pradesh,Lower Subansiri
2016-07-17,27.23995,93.806589,Arunachal Pradesh,Lower Subansiri
2016-07-17,27.246131,93.804711,Arunachal Pradesh,Lower Subansiri
2016-07-17,27.254756,93.801303,Arunachal Pradesh,Lower Subansiri
2016-07-17,27.294886,93.803328,Arunachal Pradesh,Lower Subansiri
2016-07-17,27.307072,93.806008,Arunachal Pradesh,Lower Subansiri
2016-07-16,27.339267,93.802581,Arunachal Pradesh,Lower Subansiri
2020-06-25,27.08130556,93.61283333,Arunachal Pradesh,Papum Pare
2016-04-22,27.58741667,91.88694444,Arunachal Pradesh,Tawang
2016-04-22,27.58741667,91.88694444,Arunachal Pradesh,Tawang
2016-04-23,27.59152778,91.88044444,Arunachal Pradesh,Tawang
2016-04-22,27.587417,91.886944,Arunachal Pradesh,Tawang
2016-04-22,27.587417,91.886944,Arunachal Pradesh,Tawang
2016-04-23,27.589417,91.861444,Arunachal Pradesh,Tawang
2016-04-23,27.591389,91.9025,Arunachal Pradesh,Tawang
2016-04-22,27.591806,91.865028,Arunachal Pradesh,Tawang
2016-04-22,27.593139,91.873889,Arunachal Pradesh,Tawang
2016-04-23,27.593361,91.879444,Arunachal Pradesh,Tawang
2016-04-22,27.594833,91.866417,Arunachal Pradesh,Tawang
2016-04-23,27.596639,91.878972,Arunachal Pradesh,Tawang
2016-04-23,27.596639,91.878972,Arunachal Pradesh,Tawang
2024-04-24,28.38919722,95.92776111,Arunachal Pradesh,Lower Dibang Valley
2024-04-24,28.38919722,95.92776111,Arunachal Pradesh,Lower Dibang Valley
2026-03-16,27.099285,93.614766,Arunachal Pradesh,Papum Pare
