slno,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,label,event_date,rainfall_eligible,rainfall_mm,rainfall_raw,rainfall_status,elevation_m,slope_deg,aspect_deg
490,ASM/KMP/78N16/2017/03,Assam,Kamrup (Metro),Anandapur-Gangapur slide,Hengrabari,26.15428,91.79264,Debris,Slide,13 June 2017,1,2017-06-13,True,83.4,834.0,ok,78.0,8.251325040595896,276.4018857448293
503,ASM/KMP/78N16/2017/05,Assam,Kamrup (Metro),Dakshin Saraniya-1,Ganpat Mandir road,26.17672,91.76525,Debris,Slide,13 June 2017,1,2017-06-13,True,83.4,834.0,ok,87.0,18.70176595802712,253.34566228697727
504,ASM/KMP/78N16/2017/0004,Assam,Kamrup (Metro),Dakshin Saraniya-2,Ganpat Mandir road,26.17756,91.76589,Debris,Slide,13 June 2017,1,2017-06-13,True,83.4,834.0,ok,96.0,18.48184268050404,283.99775847676966
506,ASM/KMP/78N16/2017/06,Assam,Kamrup (Metro),Bonda-Hajongdisa slide,Tuinang colony,26.18842,91.85125,Earth,Slide,16 June 2017,1,2017-06-16,True,78.8,788.0,ok,96.0,29.64948940890271,20.378275704335778
513,ASM/KAM/78N16/2017/08,Assam,Kamrup (Metro),Bonda colony slide no. 2,"Babubasti–Panikhaiti road section/Bonda colony, Amgaon",26.19081,91.84528,Earth,Slide,04 July 2017,1,2017-07-04,True,24.4,244.0,ok,67.0,23.03357865049836,229.7194724741432
517,AS/KRP/78N16/2018/003,Assam,Kamrup,Hastinapur landslide,Hastinapur Near Jorabat opposite of Cow bazaar,26.195306,91.765639,Debris,Slide,24 August 2018,1,2018-08-24,True,24.4,244.0,ok,85.0,7.180918242081233,59.112290009260576
519,AS/KAM/78N16/2014/05,Assam,Kamrup (Metro),Karghuli,Chandmari Road,26.19622,91.76336,Earth,Flow,23 March 2011,1,2011-03-23,True,0.0,0.0,ok,90.0,5.230395958110139,79.82613665283452
521,AS/NC/83G04/2009/B-5,Assam,Dima Hasao,Phaiding Landslide,,26.20261,91.14528,Debris,,20 August 2009,1,2009-08-20,True,6.1,61.0,ok,37.0,9.385768575579982,119.28257114096712
522,ASM/KAM/78N16/2017/09,Assam,Kamrup (Metro),Panikhaiti–Bongaon slide,"Panikhaiti, Bongaon, near railway line.",26.20536,91.86497,Debris,Slide,03 July 2017,1,2017-07-03,True,8.1,81.0,ok,69.0,15.829895204726135,242.85599144984684
548,ASM/KAM/78N16/2017/07,Assam,Kamrup (Metro),Bonda colony slide no. 1,"Babubasti–Panikhaiti road section/Bonda colony, Amgaon",26.37456,91.84561,Earth,Slide,04 July 2017,1,2017-07-04,True,16.0,160.0,ok,61.0,4.236120339487068,150.8344486076349
