slno,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,label,event_date,rainfall_eligible,rainfall_mm,rainfall_raw,rainfall_status,elevation_m,slope_deg,aspect_deg
20108,MEGH/WGH/78K02/2007/D-19,Meghalaya,West Garo Hills,Tura town (Rishipara) slide,,25.51028,90.21678,,,27 July 2007,1,2007-07-27,True,79.1,791.0,ok,325.0,11.161994149811978,10.462966417862305
20112,MEGH/WKH/78O06/2007/D-7,Meghalaya,West Khasi Hills,Mawkawah slide,PWD road (SH),25.51973,91.28443,Debris,Fall,25 July 2007,1,2007-07-25,True,176.3,1763.0,ok,1449.0,1.382567592237824,47.935737915040605
20114,MEGH/WKH/78O06/2007/D-6,Meghalaya,West Khasi Hills,Lawab slide,Road (Nongstoin by pass),25.5208,91.25985,Rock cum Debris,Slide,25 July 2007,1,2007-07-25,True,176.3,1763.0,ok,1358.0,20.856325744899504,70.15185851403682
20141,MEGH/EKH/83C02/2009/D-34,Meghalaya,East Khasi Hills,Puriang-4 slide,NH-44 (Shillong - Silchar),25.54231,92.1,Rock cum Debris,Slide,1 July 2009,1,2009-07-01,True,109.7,1097.0,ok,1336.0,17.34039631154293,223.53083498234489
20142,MEGH/EKH/83C02/2009/D-31,Meghalaya,East Khasi Hills,Puriang slide,NH-44 (Shillong - Silchar),25.54261,92.10867,Debris,Slide,1 July 2009,1,2009-07-01,True,106.7,1067.0,ok,1138.0,15.680038196899789,106.73892023587683
20143,MEGH/EKH/83C02/2009/D-35,Meghalaya,Jaintia Hills,Kongong-2 slide,NH-44 (Shillong-Silchar road),25.54261,92.09842,Debris,Slide,1 July 2009,1,2009-07-01,True,109.7,1097.0,ok,1318.0,10.875876731365643,139.2377341676138
20144,MEGH/EKH/83C02/2009/D-33,Meghalaya,East Khasi Hills,Puriang-3 slide,NH-44 (Shillong - Silchar),25.54264,92.10214,Rock,Slide,1 July 2009,1,2009-07-01,True,106.7,1067.0,ok,1332.0,6.878235078604374,36.46001000202039
20148,MEGH/EKH/83C02/2009/D-32,Meghalaya,East Khasi Hills,Puriang-2 slide,NH-44 (Shillong - Silchar),25.54328,92.10478,Rock,Fall,1 July 2009,1,2009-07-01,True,106.7,1067.0,ok,1272.0,28.918907326768604,40.44958753183954
20204,MEGH/EKH/78O14/2007/D-17,Meghalaya,East Khasi Hills,Nongrimbah slide,,25.56667,91.90194,Debris,Slide,08 September 2007,1,2007-09-08,True,130.7,1307.0,ok,1545.0,2.9603910332050005,200.2800200251569
20231,ML/EKH/78O14/2014/03,Meghalaya,East Khasi Hills,Barapathar,Barapathar,25.57822,91.86545,Debris,Slide,23 September 2014,1,2014-09-23,True,25.9,259.0,ok,1459.0,8.874600132285504,223.53941104799867
20293,MEG/EKH/78O14/2024/01,Meghalaya,East Khasi Hills,,,25.6251,91.9118,Slope cut debris (weathered quartzite),Slide,27 May 2024,1,2024-05-27,True,141.3,1413.0,ok,1355.0,6.88421518719869,227.96081577203825
20350,MEG/RB/78O14/2017/01,Meghalaya,Ri-Bhoi,Tharia slide,Tharia village,25.663444,91.915944,Debris,Slide,17 June 2017,1,2017-06-17,True,45.6,456.0,ok,948.0,16.127085938359617,18.0718488173912
20376,MEGH/WKH/78O02/2007/D-1,Meghalaya,West Khasi Hills,Nongjri (Porthangjah) slide,,25.68625,91.118358,Debris,Fall,15 September 2007,1,2007-09-15,True,6.8,68.0,ok,1057.0,21.009394029073185,207.8522910697854
20377,MEG/WKH/78O10/2016/51,Meghalaya,West Khasi Hills,,NongkhlawPatharkhammah road,25.687056,91.6485,Debris,Slide,15 September 2007,1,2007-09-15,True,8.5,85.0,ok,1139.0,26.677440748169843,116.7781593177183
20390,MEGH/WKH/78O02/2007/D-2,Meghalaya,West Khasi Hills,Tynrong Mawsaw slide,,25.69483,91.11836,Debris,Slide,15 September 2007,1,2007-09-15,True,6.8,68.0,ok,1095.0,15.404849367237444,245.74566955685933
20391,ME/EKJ/78O14/2015/23,Meghalaya,East Khasi Hills,,NH-40,25.695552,91.903777,Debris,Slide,15 September 2007,1,2007-09-15,True,8.7,87.0,ok,879.0,31.233357235562217,124.05212609458408
20469,ML/RIB/78N16/2014/06,Meghalaya,Ri-Bhoi,19 Mile,GS Road,26.00294,91.86692,Debris,Slide,23 September 2014,1,2014-09-23,True,8.2,82.0,ok,405.0,7.639314495003354,212.44772944081024
20474,ML/RIB/78N16/2014/02,Meghalaya,Ri-Bhoi,17 Mile B,GS road,26.02547,91.87158,Earth,Slide,20 September 2014,1,2014-09-20,True,20.8,208.0,ok,179.0,11.762936955883228,71.90450774136146
20486,3344,Meghalaya,West Jaintia Hills,,,25.47704743,92.16831285,Debris,Slide,25 May 2020,1,2020-05-25,True,52.6,526.0,ok,1405.0,9.555722438408242,253.2524490177888
20487,3348,Meghalaya,West Jaintia Hills,,,25.46307925,92.25426106,Soil,Slide,26 May 2020,1,2020-05-26,True,220.6,2206.0,ok,1376.0,3.5882989642148657,301.0440858766643
20488,3215,Meghalaya,East Khasi Hills,,,25.5667327,91.9146185,Debris,Slide,04 October 2024,1,2024-10-04,True,20.1,201.0,ok,1537.0,6.878718858790413,143.5344839390558
20489,3351,Meghalaya,West Jaintia Hills,,,25.28422636,92.11294194,Debris,Slide,26 June 2020,1,2020-06-26,True,154.3,1543.0,ok,1036.0,8.52275040343776,193.807730370603
20490,3345,Meghalaya,West Jaintia Hills,,,25.2842285,92.11314877,Rock,Slide,26 May 2020,1,2020-05-26,True,120.5,1205.0,ok,1036.0,8.522750411876844,193.80773060488588
20491,ME/SWKH/78O07/2024/4,Meghalaya,South West Khasi Hills,Manad slide-1,Manad village,25.29967,91.46108,Debris,Slide,15 June 2024,1,2024-06-15,True,128.7,1287.0,ok,1047.0,17.946423682956688,183.1654916842004
20494,ME/SWKH/78O072024/7,Meghalaya,South West Khasi Hills,Manad slide-4,Manad village,25.29739,91.46201,Debris,Slide,17 June 2024,1,2024-06-17,True,186.6,1866.0,ok,1082.0,14.853795176358265,312.11679780510804
20497,ME/RIB/78O13/2024/10,Meghalaya,Ri-Bhoi,Umran Dairy slide,Umran Dairy village,25.781246,91.874475,Earth,Slide,6 July 2024,1,2024-07-06,True,0.5,5.0,ok,698.0,11.210068594933006,274.6798040422116
20500,ME/EKH/78O15/2025/02,Meghalaya,East Khasi Hills,Laitlyngkot- Pomlum slide 1,NH-206,25.422278,91.867694,Rock,Slide,30 May 2025,1,2025-05-30,True,81.0,810.0,ok,1713.0,32.82072419716138,113.64860412815976
20501,ME/EKH/78O15/2025/03,Meghalaya,East Khasi Hills,Laitlyngkot-Pomlum slide 2,NH-206,25.43480556,91.85952778,Debris,Slide,30 May 2025,1,2025-05-30,True,81.0,810.0,ok,1805.0,32.60372644321188,143.99468817377465
20502,ME/EKH/78O15/2025/04,Meghalaya,East Khasi Hills,11th Mile slide2,NH-206,25.48716667,91.81936111,Debris,Slide,30 May 2025,1,2025-05-30,True,81.0,810.0,ok,1724.0,7.378349625763024,255.5380573694802
20506,ME/EKH/78O15/2025/08,Meghalaya,East Khasi Hills,Mawrah Rock slide,Laitkroh –Khadarshnog road sector,25.366201,91.767213,Rock,Slide,31 May 2025,1,2025-05-31,True,92.1,921.0,ok,1608.0,35.24150304149146,32.1340138403793
20507,ME/EKH/78O15/2025/09,Meghalaya,East Khasi Hills,Mawkhnai landslide,Laitkroh –Khadarshnog road sector,25.355042,91.767525,Debris,Slide,31 May 2025,1,2025-05-31,True,92.1,921.0,ok,1621.0,39.00407286278656,35.05903795722214
20508,ME/EKH/78O15/2025/10,Meghalaya,East Khasi Hills,War-War landslide,Laitkroh –Khadarshnog road sector,25.340415,91.774142,Debris,Slide,31 May 2025,1,2025-05-31,True,92.1,921.0,ok,1441.0,33.219497574490006,111.73849768166342
20511,ML-1/2010,Meghalaya,East Khasi Hills,Wall collase of mosque,,25.57711111,91.88141667,,,27 August 2010,1,2010-08-27,True,28.0,280.0,ok,1484.0,3.451902956985981,143.53211016076358
20512,ML-2/2010,Meghalaya,East Khasi Hills,Meghalaya Police's C.I.D Quarters,,25.56183333,91.86855556,,,28 June 2010,1,2010-06-28,True,60.7,607.0,ok,1546.0,14.497537900141072,200.2792678225765
20513,ML-3/2010,Meghalaya,East Khasi Hills,Lumsohra,,25.57188889,91.90127778,,,28 June 2010,1,2010-06-28,True,58.9,589.0,ok,1515.0,9.822757146803747,55.92033934538667
20514,ML-4/2010,Meghalaya,East Khasi Hills,CathedralChurch,,25.56852778,91.89219444,,,28 June 2010,1,2010-06-28,True,60.7,607.0,ok,1532.0,6.407858042719635,73.26449753926963
20517,ML-6/2010,Meghalaya,Jaintia Hills,Tongseng Landslide,,25.13561111,92.3805,,,22 April 2010,1,2010-04-22,True,116.1,1161.0,ok,178.0,23.974060782155856,133.69936914561669
20518,ML-7/2010,Meghalaya,Jaintia Hills,Tongseng Landslide,,25.13486111,92.382,,,22 April 2010,1,2010-04-22,True,116.1,1161.0,ok,188.0,43.30068870885577,167.9665328764902
20519,ML-8/2010,Meghalaya,Jaintia Hills,Sonapur,,25.12383333,92.38519444,,,22 April 2010,1,2010-04-22,True,116.1,1161.0,ok,93.0,46.58587809662253,78.52858771811431
20520,ML-9/2010,Meghalaya,Jaintia Hills,Kulyng Slide,,25.07533333,92.36341667,,,22 April 2010,1,2010-04-22,True,99.3,993.0,ok,156.0,24.7774891798658,32.78285296488412
20521,ML-10/2010,Meghalaya,Jaintia Hills,Umkiang Slide,,25.05108333,92.40219444,,,22 April 2010,1,2010-04-22,True,73.9,739.0,ok,64.0,9.402264167244232,347.5506462949449
20522,ML-11/2010,Meghalaya,Jaintia Hills,Dona Slide,,25.04305556,92.42041667,,,22 April 2010,1,2010-04-22,True,73.9,739.0,ok,149.0,16.936655320419153,31.83481485742745
20523,ML-12/2010,Meghalaya,Jaintia Hills,Ratachera Slide,,25.04222222,92.44127778,,,22 April 2010,1,2010-04-22,True,73.9,739.0,ok,276.0,24.425351140325688,4.507864596561603
20538,ML- 94/2011,Meghalaya,Ri-Bhoi,Umsaw Khwan slide,,25.67469444,91.88652778,Earth,slide,26 June 2011,1,2011-06-26,True,8.7,87.0,ok,1062.0,4.622196164454146,0.0
20542,MEG/EKH/SHILLONG/02,Meghalaya,East Khasi Hills,Rynjah,Rynjah GSI Office slide,25.56663056,91.91370556,Rock (with thin overburden/debris),Slide,10 July 2019,1,2019-07-10,True,184.5,1845.0,ok,1530.0,10.855984038951895,201.95470753295467
20543,ML/EKH/78O11/2019-20/03,Meghalaya,East Khasi Hills,"Mawsynram, East Khasi Hills District, Meghalaya",Mawsynram - Lawbah,25.281,91.57330556,Debris,Slide,7 July 2019,1,2019-07-07,True,3.3,33.0,ok,1325.0,14.535528486533108,55.85612907436213
20547,MEG/EKH/78O8/2019/07,Meghalaya,East Khasi Hills,Balat road slide - I,Pomblang Landslide,25.23211111,91.37252778,Debris,Slide,27 June 2019,1,2019-06-27,True,157.6,1576.0,ok,418.0,15.64570473068334,191.03883859497347
20548,MEG/EKH/78O8/2019/08,Meghalaya,East Khasi Hills,Balat road,Balat road slide - II,25.22194444,91.38422222,Debris,Slide,27 June 2019,1,2019-06-27,True,157.6,1576.0,ok,240.0,20.48643689543949,5.490417292357819
20551,MEG/EKH/78O8/2019/11,Meghalaya,East Khasi Hills,Balat-Shella road,Balat 4 km Slide,25.18688889,91.39855556,Debris,Slide,27 June 2019,1,2019-06-27,True,121.1,1211.0,ok,77.0,16.68348755903304,346.2028987414599
20553,MEG/WJH/83C3/2020/2,Meghalaya,West Jaintia Hills,Iawmusiang Wahthanad,Iawmusiang Landslide - I,25.44233333,92.19447222,Debris,Slide,26 May 2020,1,2020-05-26,True,198.0,1980.0,ok,1331.0,7.644699243041395,164.52528415874224
20554,MEG/WJH/83C3/2020/3,Meghalaya,West Jaintia Hills,Iawmusiang Wahthanad,Iawmusiang Landslide - II,25.44177778,92.19558333,Debris,Slide,26 May 2020,1,2020-05-26,True,198.0,1980.0,ok,1340.0,4.228248046856805,208.97313185675097
20556,MEG/WJH/83C3/2020/5,Meghalaya,West Jaintia Hills,Chutwakhu Rd near Govt. Boy’s Higher secondary school,Chutwakhu road landslide,25.43630556,92.19525,Soil,Slide,26 May 2020,1,2020-05-26,True,198.0,1980.0,ok,1359.0,14.100659700997564,86.30927625831441
20557,MEG/WJH/83C3/2020/6,Meghalaya,West Jaintia Hills,Chilliangraij,Chilliangraij Landslide,25.43505556,92.19836111,Debris,Slide,26 May 2020,1,2020-05-26,True,198.0,1980.0,ok,1350.0,13.006897874248748,32.8601491627633
20558,MEG/WJH/83C3/2020/7,Meghalaya,West Jaintia Hills,Salaroh,Salaroh Landslide,25.44741667,92.20138889,Soil,Slide,26 May 2020,1,2020-05-26,True,220.6,2206.0,ok,1371.0,18.549565527328863,15.475337780191126
20559,MEG/WJH/83C3/2020/8,Meghalaya,West Jaintia Hills,Caroline colony,Caroline-Jowai,25.45075,92.19452778,Debris,Slide,26 May 2020,1,2020-05-26,True,198.0,1980.0,ok,1354.0,22.12804560680002,208.9749410763477
20560,MEG/WJH/83C3/2020/9,Meghalaya,West Jaintia Hills,Shillong-Agartala-Sabrum Rd,Shillong-Agartala-Sabrum Rd,25.45351667,92.18784722,Soil,Slide,26 May 2020,1,2020-05-26,True,198.0,1980.0,ok,1272.0,8.817796535822461,159.7375289472798
20577,MEG/SG/78K12/2022/03,Meghalaya,South Garo Hills,Baghmara along the road.,Bhagmara slide,25.21022222,90.63220278,Debris,Slide,17 June 2022,1,2022-06-17,True,129.7,1297.0,ok,36.0,16.989913702381564,276.07576071676203
20590,MEG/EKH/78O15/2023/01,Meghalaya,East Khasi Hills,NH-40,"Ryngngain slide, before Lyngkyrdem village",25.365263,91.878497,Rock,Slide,13 April 2023,1,2023-04-13,True,0.0,0.0,ok,1545.0,20.75207349993693,262.64464681314854
20592,MEG/WJH/83C03/2023-24/2,Meghalaya,West Jaintia Hills,Pynthor Langtein village,Pynthor Langtein slide,25.41955556,92.16194444,Earth,Slide,10 August 2023,1,2023-08-10,True,0.4,4.0,ok,1393.0,3.8393857078539897,15.471931038053556
20593,ME/EWK/2025/1,Meghalaya,Eastern-West Khasi Hill,Kynshi,,25.55256111,91.61870278,Debris,Fall,28 June 2024,1,2024-06-28,True,8.2,82.0,ok,1657.0,15.764281166878575,62.72721415045616
20594,6892,Meghalaya,South West Khasi Hills,Wamney,Village Road,25.39295833,91.55163333,Debris,Slide,28 May 2024,1,2024-05-28,True,51.3,513.0,ok,1415.0,21.018989830905006,44.32511796292744
20595,6874,Meghalaya,South West Khasi Hills,Jakarm,Mawkyrwat-Shillong Road,25.37129167,91.48003056,Debris,Fall,15 June 2024,1,2024-06-15,True,133.2,1332.0,ok,1567.0,9.582913570760857,312.0993931759963
20596,ME/SWK/2025/4,Meghalaya,South West Khasi Hills,Mawkyllung,Mawkyllung-Nongstoin Road,25.40288611,91.43424167,Debris,Fall,28 May 2024,1,2024-05-28,True,63.4,634.0,ok,1527.0,17.126550058251873,99.05721804121715
20597,6891,Meghalaya,West Khasi Hills,Mawrok Sohsat,Mairang-Nongstoin Road,25.531739,91.296177,Debris,Slide,02 July 2024,1,2024-07-02,True,4.9,49.0,ok,1460.0,25.18694524152053,4.370566334956919
20598,ME/WKH/2025/6,Meghalaya,West Khasi Hills,Sohpian,Mairang-Nongstoin Road,25.540056,91.314142,Debris,Fall,02 July 2024,1,2024-07-02,True,3.6,36.0,ok,1513.0,13.75499554043943,30.82774089731773
20602,6890,Meghalaya,East Khasi Hills,Rymbai Petrol Pump(BPCL),Shillong-Umiam Road,25.641242,91.894137,Debris,Fall,02 July 2024,1,2024-07-02,True,4.5,45.0,ok,1210.0,9.826591555115431,304.06423609767654
20603,4694,Meghalaya,East Khasi Hills,Mowing Rim,Umiam Road,25.65057222,91.89351389,Debris,Fall,02 July 2024,1,2024-07-02,True,4.5,45.0,ok,1135.0,22.61491444872152,244.723857110314
20604,6889,Meghalaya,East Khasi Hills,Umiam Lake,Umiam Road,25.64887222,91.89692778,Debris,Slide,02 July 2024,1,2024-07-02,True,4.5,45.0,ok,1083.0,18.82064076180289,341.59296373575694
20608,ME/SWK/2025/16,Meghalaya,South West Khasi Hills,Mawiang,SH-3,25.619397,91.61704,Debris,Slide,30 May 2025,1,2025-05-30,True,87.5,875.0,ok,1509.0,18.34913161628044,305.8047566521124
20609,4695,Meghalaya,Eastern-West Khasi Hill,Mawblei,SH-3,25.65443889,91.62390833,Debris,Fall,30 May 2025,1,2025-05-30,True,87.5,875.0,ok,1469.0,11.026624639828132,185.2817857535424
20610,4696,Meghalaya,Eastern-West Khasi Hill,Nongkhlaw,SH-3,25.65443889,91.63345833,Debris,Slide,30 May 2025,1,2025-05-30,True,87.5,875.0,ok,1438.0,8.166370614703988,90.0
20611,4697,Meghalaya,Eastern-West Khasi Hill,Nongkhlaw,SH-3,25.65977222,91.63440556,Debris,Fall,30 May 2025,1,2025-05-30,True,87.5,875.0,ok,1407.0,5.125341783943059,90.0
20612,ME/EKH/2025/20,Meghalaya,East Khasi Hills,Umiam Hydal Project,GS Road,25.65308889,91.89803889,Debris,Slide,01 July 2024,1,2024-07-01,True,185.4,1854.0,ok,1044.0,18.23282115346042,119.39668696936462
20613,4699,Meghalaya,East Khasi Hills,Umiam Hydal Project,GS Road,25.65341111,91.89819444,Debris,Slide,01 July 2024,1,2024-07-01,True,185.4,1854.0,ok,1038.0,17.42962271124082,132.03242643009796
20614,ME/RIB/2025/22,Meghalaya,Ri-Bhoi,Umiam Hydal Project,GS Road,25.66315,91.90180278,Debris,Fall,30 May 2025,1,2025-05-30,True,112.5,1125.0,ok,1017.0,8.217929300281208,263.5716249998811
20615,4701,Meghalaya,Ri-Bhoi,Umsawlum A,GS Road,25.67032222,91.90487222,Debris,Slide,30 May 2025,1,2025-05-30,True,112.5,1125.0,ok,1008.0,14.312394735962627,230.67000822472767
20616,ME/RIB/2025/24,Meghalaya,Ri-Bhoi,Umiam Flyover,Guwahati-Shillong Road,25.67517222,91.8983,Debris,Fall,30 June 2024,1,2024-06-30,True,190.4,1904.0,ok,1015.0,18.682083992664044,47.97277360430755
20617,ME/EKH/2025/25,Meghalaya,East Khasi Hills,Lewmawiong,NH-206,25.42315556,91.86329167,Debris,Slide,31 May 2025,1,2025-05-31,True,74.6,746.0,ok,1740.0,39.57022135552433,183.72644873086887
20618,4702,Meghalaya,East Khasi Hills,Lait-Sohphie,AH-2,25.30127778,91.92198889,Debris,Slide,30 May 2025,1,2025-05-30,True,60.0,600.0,ok,1192.0,27.355991674751525,208.9449049266064
20619,4700,Meghalaya,Ri-Bhoi,Umiam,NH-6,25.67546111,91.89726944,Rock,Topple/Fall,30 June 2024,1,2024-06-30,True,190.4,1904.0,ok,1007.0,20.32555612857955,235.42535502539133
20620,ME/RIB/2025/28,Meghalaya,Ri-Bhoi,,NH-6,25.67761389,91.89865833,Debris,Slide,30 May 2025,1,2025-05-30,True,110.8,1108.0,ok,997.0,25.20478590565478,241.2514986577932
20621,ME/EWK/2026/29,Meghalaya,Eastern-West Khasi Hill,Umkrem,Umkrem,25.49551944,91.49585278,Debris,Slide,02 July 2025,1,2025-07-02,True,35.5,355.0,ok,1584.0,18.30803320066323,66.98606603378994
20622,ME/EWK/2026/30,Meghalaya,South West Khasi Hills,Mawpud,Ranikor,25.28247222,91.36413333,Debris,Slide,30 May 2025,1,2025-05-30,True,57.0,570.0,ok,973.0,35.84637625158063,153.54183775517532
20623,ME/SWK/2026/31,Meghalaya,South West Khasi Hills,Mawpud,Ranikor,25.28090556,91.36584722,Debris,Slide,30 May 2025,1,2025-05-30,True,57.0,570.0,ok,993.0,27.85351204583748,168.28517437617995
20624,ME/RIB/2026/32,Meghalaya,Ri-Bhoi,Umbang 1,NH-6,25.68255833,91.90111389,Debris,Slide,30 June 2024,1,2024-06-30,True,184.0,1840.0,ok,960.0,9.570502710005876,253.27957459258667
20625,7236,Meghalaya,Ri-Bhoi,Umbang 2,NH-6,25.68591944,91.90256667,Debris,Slide,30 June 2024,1,2024-06-30,True,184.0,1840.0,ok,938.0,21.53673623177921,190.4780034184209
20626,7237,Meghalaya,Ri-Bhoi,Sahkynduh,NH-6,25.71165556,91.89512778,Debris,Slide,30 May 2025,1,2025-05-30,True,96.3,963.0,ok,854.0,15.84713559678666,304.72460269346647
20627,7239,Meghalaya,Ri-Bhoi,Ri-Bhoi Pataraim,NH-6,25.75297778,91.88535278,Debris,Fall/Topple,30 May 2025,1,2025-05-30,True,96.3,963.0,ok,821.0,16.02639092188867,90.0
20628,7240,Meghalaya,Ri-Bhoi,Umsamlan 1,NH-6,25.79744444,91.87408611,Debris,Slide,14 June 2024,1,2024-06-14,True,33.1,331.0,ok,642.0,22.991915108484527,283.2175374393114
20629,ME/RIB/2026/37,Meghalaya,Ri-Bhoi,Umsamlan 2,NH-6,25.80725833,91.87509444,Debris,Slide,14 July 2024,1,2024-07-14,True,4.7,47.0,ok,612.0,15.486422683108954,283.4995417906616
20630,7242,Meghalaya,West Khasi Hills,,Nongstoin-RongjongTura Road,25.62269444,91.16914444,Debris,Slide,02 July 2024,1,2024-07-02,True,6.8,68.0,ok,1222.0,6.330278572405954,330.99023172032366
20631,ME/WKH/2026/39,Meghalaya,West Khasi Hills,,Nongstoin-RongjongTura Road,25.61276111,91.17375278,Debris,Slide,02 July 2024,1,2024-07-02,True,6.8,68.0,ok,1166.0,15.688052719489258,286.7296616652928
20632,7243,Meghalaya,West Khasi Hills,,Nongstoin-RongjongTura Road,25.66156667,91.13485278,Debris,Slide,02 July 2024,1,2024-07-02,True,6.8,68.0,ok,1145.0,11.15416812111018,305.032905713717
20633,7244,Meghalaya,Eastern-West Khasi Hill,Nongkhlaw-Tirotsing 1,Mairang-Guwahati Road,25.69150833,91.64160833,Debris,Slide,29 May 2025,1,2025-05-29,True,81.8,818.0,ok,1338.0,1.3836631565129,132.0233194587546
20634,ME/EWK/2026/42,Meghalaya,Eastern-West Khasi Hill,Nongkhlaw-Tirotsing 2,Mairang-Guwahati Road,25.69517778,91.64123611,Debris,Slide,30 May 2025,1,2025-05-30,True,87.5,875.0,ok,1302.0,14.861824797280724,203.93620693703213
20635,ME/EWK/2026/43,Meghalaya,Eastern-West Khasi Hill,,Mairang-Guwahati Road,25.69688611,91.64176667,Debris,Slide,25 June 2025,1,2025-06-25,True,22.0,220.0,ok,1285.0,12.185217633467444,274.2943788216828
20636,ME/EWK/2026/44,Meghalaya,Eastern-West Khasi Hill,Nongkhlaw-Tirotsing 3,Mairang-Guwahati Road,25.70087778,91.642902,Debris,Slide,08 October 2024,1,2024-10-08,True,0.4,4.0,ok,1247.0,17.920793557669114,180.0
20637,ME/EWK/2026/45,Meghalaya,Eastern-West Khasi Hill,Nongkhlaw-Tirotsing 4,Mairang-Guwahati Road,25.69866667,91.64517222,Debris,Slide,06 August 2024,1,2024-08-06,True,9.0,90.0,ok,1228.0,25.86283384817769,91.91145679442266
20638,7245,Meghalaya,Eastern-West Khasi Hill,,Mairang-Guwahati Road,25.69683611,91.64485556,Debris,Slide,06 August 2024,1,2024-08-06,True,9.0,90.0,ok,1257.0,21.292050735371006,51.512173049156914
20639,ME/EWK/2026/47,Meghalaya,Eastern-West Khasi Hill,,Mairang-Guwahati Road,25.69523333,91.64426944,Debris,Slide,30 May 2025,1,2025-05-30,True,87.5,875.0,ok,1225.0,26.80682068413991,112.58234554303722
20640,ME/EWK/2026/48,Meghalaya,Eastern-West Khasi Hill,,Mairang-Guwahati Road,25.69463611,91.64577778,Debris,Slide,30 May 2025,1,2025-05-30,True,87.5,875.0,ok,1204.0,23.97321793855429,139.78511637310515
20641,ME/EWK/2026/49,Meghalaya,Eastern-West Khasi Hill,,Mairang-Guwahati Road,25.68698889,91.64812222,Rock,Slide,28 May 2025,1,2025-05-28,True,21.6,216.0,ok,1171.0,39.02438729612548,131.1752249138599
20642,ME/EWK/2026/50,Meghalaya,Eastern-West Khasi Hill,,Mairang-Guwahati Road,25.68690556,91.64915278,Debris,Fall,28 May 2025,1,2025-05-28,True,21.6,216.0,ok,1124.0,21.230401929126145,177.35276475379862
20643,ME/EWK/2026/51,Meghalaya,Eastern-West Khasi Hill,,Nongkhlaw-Guwahati Road,25.688833,91.653639,Earth,Slide,25 June 2025,1,2025-06-25,True,22.0,220.0,ok,1046.0,26.422371028120622,192.5131680107043
20644,7246,Meghalaya,Eastern-West Khasi Hill,,Mairang-Guwahati Road,25.68798889,91.65838889,Debris,Slide,28 May 2024,1,2024-05-28,True,66.5,665.0,ok,1032.0,28.85196950942128,176.26532929788115
20645,7247,Meghalaya,Eastern-West Khasi Hill,,Nongkhlaw-Guwahati Road,25.68805,91.66653,Debris,Slide,28 May 2024,1,2024-05-28,True,66.5,665.0,ok,957.0,30.31009471251964,174.71673320739808
20646,ME/EWK/2026/54,Meghalaya,Eastern-West Khasi Hill,,Mairang-Guwahati Road,25.68822222,91.66746111,Debris,Slide,11 June 2025,1,2025-06-11,True,18.2,182.0,ok,936.0,24.95598120970919,166.62420946269688
20647,7248,Meghalaya,Eastern-West Khasi Hill,Mawiongkhri,Nongkhlaw-Guwahati Road,25.69007,91.67085,Debris,Slide,11 June 2025,1,2025-06-11,True,18.2,182.0,ok,888.0,6.311248433564936,54.21134699889826
20648,7249,Meghalaya,Eastern-West Khasi Hill,Umniangriang,Mairang-Guwahati Road,25.733262,91.675754,Debris,Slide,11 June 2025,1,2025-06-11,True,60.0,600.0,ok,742.0,16.127949155769965,341.9182403807565
20649,7250,Meghalaya,Eastern-West Khasi Hill,Boulder Stone Quarry Site,Mairang-Guwahati Road,25.762051,91.658959,Debris,Slide,29 May 2024,1,2024-05-29,True,15.9,159.0,ok,796.0,6.417324584152889,253.2901234757964
20650,ME/EWK/2026/58,Meghalaya,Eastern-West Khasi Hill,Mawpat,Mairang-Guwahati Road,25.770935,91.656497,Debris,Slide,29 May 2024,1,2024-05-29,True,15.9,159.0,ok,776.0,11.317649881323272,279.2987815291523
20651,7251,Meghalaya,Eastern-West Khasi Hill,Madpan,Mairang-Guwahati Road,25.791616,91.658242,Debris,Slide,29 May 2024,1,2024-05-29,True,15.9,159.0,ok,743.0,9.226209732537686,95.71300376335542
20652,ME/EWK/2026/60,Meghalaya,Eastern-West Khasi Hill,,Mairang-Guwahati Road,25.803984,91.659801,Debris,Slide,28 August 2024,1,2024-08-28,True,2.1,21.0,ok,686.0,24.46334725807096,71.34489649509675
20653,7252,Meghalaya,Eastern-West Khasi Hill,Mawkarah,Nongkhlaw Road,25.700668,91.596815,Debris,Slide,31 May 2025,1,2025-05-31,True,32.7,327.0,ok,1345.0,16.18976976728993,120.08202033251216
20654,ME/EWK/2026/62,Meghalaya,Eastern-West Khasi Hill,,Jakhong Road,25.739454,91.572107,Debris,Slide,31 May 2025,1,2025-05-31,True,32.7,327.0,ok,903.0,23.6420218286175,109.41645443975324
20656,3442,Meghalaya,East Khasi Hills,Pohkseh,BL-D/24,25.566518,91.914509,rock,fall,19 August 2025,1,2025-08-19,True,8.6,86.0,ok,1540.0,5.818876127851667,61.57549141713292
22177,MIZO/AIZ/84A10/2007/E-3,Mizoram,Aizawl,Bawng Venglai slide,,23.751694,92.731528,Debris,Slide,8 September 2007,1,2007-09-08,True,120.0,1200.0,ok,946.0,23.18220130390684,340.7297448931005
22701,MZ/AZL/84A10/2024/001,Mizoram,Aizawl,,"Luangmual, Aizawl",23.73888889,92.69638889,Debris,Slide,28 May 2024,1,2024-05-28,True,70.9,709.0,ok,1044.0,26.72854136776827,216.60692651791288
